config,metric,kind,n,mean,median,stdev,min,max,ci95_low,ci95_high,wilson_low,wilson_high,cohens_d,cohens_h,cliffs_delta,mann_whitney_U,p_value,significant,effect_size_interpretation,undefined_reason
remove_EQ,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,replay_integrity,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_EQ,evidence_completeness,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_EQ,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,revocation_compliance,proportional,215,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9824463845132672,1.0,,0.0,0.0,23112.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,hash_chain_integrity,proportional,0,,,,,,,,,,,,,,,,,"evidence_quad disabled: no ERTuples are emitted, so the ledger has nothing to chain"
remove_EQ,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ,runtime_integrity_score,composite,300,0.32587800997472255,0.3333333333333333,0.011604534527846806,0.26709890668700736,0.3333333333333333,0.2960790530543225,0.3333333333333333,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=None (large); Cliff's delta=-1.0 (large),
remove_EQ,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,evidence_quad disabled: the ledger has no evidence to chain (0 blocks)
remove_LG,latency_ms,distributional,4500,0.8636116931111122,0.8503545,0.0820339039063581,0.22325,1.304167,0.861273390261111,0.8659684595111111,,,0.4032,,0.3234,6850151.5,0.0,True,Cohen's d=0.4032 (small); Cliff's delta=0.3234 (small),
remove_LG,runtime_overhead_ms,distributional,4500,0.0007957473333333354,0.00075,0.00018428336376232,0.000583,0.006792,0.000790335961111111,0.0008011660166666667,,,0.193,,0.3038,7048719.0,0.0,True,Cohen's d=0.193 (negligible); Cliff's delta=0.3038 (small),
remove_LG,throughput_dec_per_s,distributional,4500,1168.584450761086,1175.9801360270053,123.32168702289836,766.772966958986,4479.283314669653,1165.099924348832,1172.2726948745037,,,-0.3872,,-0.3234,6850151.5,0.0,True,Cohen's d=-0.3872 (small); Cliff's delta=-0.3234 (small),
remove_LG,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,replay_integrity,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_LG,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,revocation_compliance,proportional,215,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9824463845132672,1.0,,0.0,0.0,23112.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,hash_chain_integrity,proportional,0,,,,,,,,,,,,,,,,,"runtime_ledger disabled: no ledger blocks exist, so there are no chain links to verify"
remove_LG,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_LG,runtime_integrity_score,composite,300,0.49254467664139007,0.5,0.011604534527846813,0.43376557335367405,0.5,0.4627457197209892,0.5,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=None (large); Cliff's delta=-1.0 (large),
remove_LG,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,runtime_ledger disabled: there is no ledger to verify
remove_HC,latency_ms,distributional,4500,0.9092374537777772,0.8812709999999999,0.09761192189804069,0.228,1.787875,0.9064042334388889,0.9121793536277779,,,0.8573,,0.5728,4324976.5,0.0,True,Cohen's d=0.8573 (large); Cliff's delta=0.5728 (large),
remove_HC,runtime_overhead_ms,distributional,4500,0.0008312291111111089,0.000792,0.0001725655732284233,0.000625,0.006708,0.0008264853666666666,0.0008362483777777777,,,0.3579,,0.4523,5545222.5,0.0,True,Cohen's d=0.3579 (small); Cliff's delta=0.4523 (medium),
remove_HC,throughput_dec_per_s,distributional,4500,1112.5465491701407,1134.7247334450262,129.74595763525318,559.3232189051248,4385.964912280701,1108.6503899330708,1116.438253930176,,,-0.8108,,-0.5728,4324976.5,0.0,True,Cohen's d=-0.8108 (large); Cliff's delta=-0.5728 (large),
remove_HC,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
